time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.2,amcl,map,-1.96985,-0.528514,-0.0120676,0.181533,0.221001,-0.0124154,,,
5.202,amcl,map,-1.99628,-0.506276,0.00310395,0.157544,0.20573,-0.00213343,,,
5.256,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.292,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.328,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.364,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.4,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.436,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.472,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.508,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.544,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.58,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.616,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.652,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.688,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.724,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.76,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.796,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.832,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.868,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.904,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.94,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
5.976,odom,map,-1.96985,-0.528514,-0.0120676,0,0,0,,,
6.012,odom,map,-1.97129,-0.527297,-0.0112373,0,0,0,,,
6.048,odom,map,-1.97603,-0.523314,-0.00852004,0,0,0,,,
6.084,odom,map,-1.98076,-0.519331,-0.00580275,0,0,0,,,
6.12,odom,map,-1.9855,-0.515348,-0.00308545,0,0,0,,,
6.156,odom,map,-1.99023,-0.511365,-0.00036815,0,0,0,,,
6.192,odom,map,-1.99497,-0.507382,0.00234915,0,0,0,,,
6.228,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.201,amcl,map,-1.97226,-0.520534,0.000398282,0.191322,0.228933,-0.0146591,,,
6.264,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.3,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.336,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.372,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.408,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.444,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.48,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.516,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.552,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.588,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.624,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.66,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.696,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.732,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
6.768,odom,map,-1.99628,-0.506276,0.00310395,0,0,0,,,
