time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
5.601,amcl,map,-1.97248,-0.518361,-0.015346,0.187371,0.216002,-0.0127975,,,
6.6,amcl,map,-2.00061,-0.506588,0.00262031,0.159889,0.203306,-0.00251398,,,
6.66,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.696,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.732,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.768,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.804,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.84,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.876,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.912,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.948,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
6.984,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.02,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.056,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.092,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.128,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.164,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.2,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.236,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.272,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.308,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.344,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.38,odom,map,-1.97248,-0.518361,-0.015346,0,0,0,,,
7.416,odom,map,-1.97447,-0.517529,-0.0140757,0,0,0,,,
7.452,odom,map,-1.97959,-0.515388,-0.0108091,0,0,0,,,
7.488,odom,map,-1.9847,-0.513248,-0.00754245,0,0,0,,,
7.524,odom,map,-1.98981,-0.511107,-0.00427585,0,0,0,,,
7.56,odom,map,-1.99493,-0.508966,-0.00100925,0,0,0,,,
7.596,odom,map,-2.00004,-0.506826,0.00225736,0,0,0,,,
7.632,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.602,amcl,map,-1.96864,-0.514336,-0.00505275,0.194323,0.233836,-0.0205014,,,
7.668,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.704,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.74,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.776,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.812,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.848,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.884,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.92,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.956,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
7.992,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.028,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.064,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.1,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.136,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.172,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
8.208,odom,map,-2.00061,-0.506588,0.00262031,0,0,0,,,
