source,rmse_m,max_error_m,mae_m,n_samples,mean_cov_trace,coverage_2sigma_pct,mean_runtime_ms,mean_ess,min_ess
kf,0.0823265111466205,0.22595074703350718,0.07263716419323396,324,0.1156842086419753,100.0,0.16715623765432097,,
ekf,0.08803898355694306,0.225793376379822,0.0789943162253896,324,0.1173247225308642,100.0,0.14198221296296296,,
pf,0.1357539756338867,0.3283257413134096,0.12461743905065086,324,0.10729191234567902,100.0,7.345455092592593,461.1250339506173,280.409
