source,rmse_m,max_error_m,mae_m,n_samples,mean_cov_trace,coverage_2sigma_pct,mean_runtime_ms,mean_ess,min_ess,method,threshold,setting
pf,0.08602098549501873,0.2559893513410274,0.07750689949726515,322,0.10755208850931676,100.0,7.926045341614907,457.1772732919255,230.123,threshold,0.0,threshold_t0.0
pf,0.15785206831977894,0.3188631618735537,0.1494093607256567,320,0.1088347478125,100.0,7.131511812499999,459.87823437500003,210.557,threshold,0.5,threshold_t0.5
pf,0.13382235115118526,0.30959604293336823,0.12188910381439222,327,0.06934850593272171,100.0,7.191244159021408,511.1728042813455,291.839,threshold,1.0,threshold_t1.0
pf,0.08422132552428306,0.21014457999196648,0.07478821619188332,321,0.049635714797507786,99.68847352024922,7.150036666666667,553.7322554517134,341.705,threshold,1.5,threshold_t1.5
