time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
3.801,amcl,map,-1.97048,-0.520246,-0.0124914,0.181239,0.2198,-0.00955807,,,
4.8,amcl,map,-2.00126,-0.508438,0.0060953,0.155944,0.201996,-0.00544786,,,
4.86,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
4.896,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
4.932,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
4.968,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.004,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.04,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.076,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.112,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.148,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.184,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.22,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.256,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.292,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.328,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.364,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.4,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.436,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.472,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.508,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.544,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.58,odom,map,-1.97048,-0.520246,-0.0124914,0,0,0,,,
5.616,odom,map,-1.97266,-0.519412,-0.0111772,0,0,0,,,
5.652,odom,map,-1.97825,-0.517265,-0.00779782,0,0,0,,,
5.688,odom,map,-1.98385,-0.515118,-0.00441841,0,0,0,,,
5.724,odom,map,-1.98945,-0.512971,-0.00103901,0,0,0,,,
5.76,odom,map,-1.99504,-0.510824,0.0023404,0,0,0,,,
5.796,odom,map,-2.00064,-0.508677,0.00571981,0,0,0,,,
5.832,odom,map,-2.00126,-0.508438,0.0060953,0,0,0,,,
5.802,amcl,map,-1.97407,-0.519198,-0.000599813,0.195482,0.242841,-0.0116446,,,
5.868,odom,map,-2.00126,-0.508438,0.0060953,0,0,0,,,
5.904,odom,map,-2.00126,-0.508438,0.0060953,0,0,0,,,
