time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.8,amcl,map,-2.0025,-0.497422,0.0084069,0.170314,0.20534,-0.00650984,,,
5.436,odom,map,-1.9657,-0.526466,-0.0151372,0,0,0,,,
5.472,odom,map,-1.9657,-0.526466,-0.0151372,0,0,0,,,
5.508,odom,map,-1.9657,-0.526466,-0.0151372,0,0,0,,,
5.544,odom,map,-1.9657,-0.526466,-0.0151372,0,0,0,,,
5.58,odom,map,-1.9657,-0.526466,-0.0151372,0,0,0,,,
5.616,odom,map,-1.96831,-0.524412,-0.0134725,0,0,0,,,
5.652,odom,map,-1.97499,-0.519132,-0.00919172,0,0,0,,,
5.688,odom,map,-1.98168,-0.513851,-0.00491097,0,0,0,,,
5.724,odom,map,-1.98837,-0.50857,-0.000630227,0,0,0,,,
5.76,odom,map,-1.99506,-0.50329,0.00365052,0,0,0,,,
5.796,odom,map,-2.00175,-0.498009,0.00793126,0,0,0,,,
5.832,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
5.802,amcl,map,-1.97971,-0.520421,0.000654595,0.192935,0.237992,-0.0135656,,,
5.868,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
5.904,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
5.94,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
5.976,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.012,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.048,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.084,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.12,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.156,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.192,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.228,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.264,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.3,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.336,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.372,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.408,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.444,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.48,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.516,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.552,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.588,odom,map,-2.0025,-0.497422,0.0084069,0,0,0,,,
6.624,odom,map,-1.99989,-0.500054,0.00751982,0,0,0,,,
6.66,odom,map,-1.99581,-0.504173,0.00613135,0,0,0,,,
6.696,odom,map,-1.99173,-0.508292,0.00474288,0,0,0,,,
6.732,odom,map,-1.98764,-0.512412,0.0033544,0,0,0,,,
6.768,odom,map,-1.98356,-0.516531,0.00196593,0,0,0,,,
6.804,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
6.801,amcl,map,-1.9692,-0.481286,-0.00183863,0.190088,0.24311,-0.0167741,,,
6.84,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
6.876,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
6.912,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
6.948,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
6.984,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.02,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.056,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.092,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.128,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.164,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.2,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.236,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.272,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.308,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.344,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.38,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.416,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.452,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.488,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.524,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.56,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.596,odom,map,-1.97971,-0.520421,0.000654595,0,0,0,,,
7.632,odom,map,-1.97803,-0.514191,0.000257664,0,0,0,,,
7.668,odom,map,-1.97615,-0.507182,-0.000188884,0,0,0,,,
7.704,odom,map,-1.97427,-0.500172,-0.000635431,0,0,0,,,
7.74,odom,map,-1.97239,-0.493163,-0.00108198,0,0,0,,,
7.776,odom,map,-1.97051,-0.486154,-0.00152853,0,0,0,,,
7.812,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
7.8,amcl,map,-1.97926,-0.498485,-0.00223421,0.180324,0.202716,-0.00953335,,,
7.848,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
7.884,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
7.92,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
7.956,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
7.992,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.028,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.064,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.1,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.136,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.172,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.208,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.244,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.28,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.316,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.352,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.388,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.424,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.46,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.496,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.532,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.568,odom,map,-1.9692,-0.481286,-0.00183863,0,0,0,,,
8.604,odom,map,-1.9693,-0.48146,-0.00184262,0,0,0,,,
