time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.602,amcl,map,-1.97719,-0.533016,-0.0107051,0.194648,0.217994,-0.0145301,,,
5.4,amcl,map,-1.98655,-0.49981,0.0039359,0.163715,0.201666,-0.00138381,,,
5.688,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.724,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.76,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.796,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.832,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.868,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.904,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.94,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
5.976,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.012,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.048,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.084,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.12,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.156,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.192,odom,map,-1.97719,-0.533016,-0.0107051,0,0,0,,,
6.228,odom,map,-1.97842,-0.528656,-0.00878253,0,0,0,,,
6.264,odom,map,-1.98012,-0.522618,-0.00612053,0,0,0,,,
6.3,odom,map,-1.98183,-0.516581,-0.00345854,0,0,0,,,
6.336,odom,map,-1.98353,-0.510543,-0.000796542,0,0,0,,,
6.372,odom,map,-1.98523,-0.504506,0.00186545,0,0,0,,,
6.408,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.402,amcl,map,-1.97059,-0.512808,-0.00446016,0.193386,0.238063,-0.0163707,,,
6.444,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.48,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.516,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.552,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.588,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.624,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
6.66,odom,map,-1.98655,-0.49981,0.0039359,0,0,0,,,
