time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
3.801,amcl,map,-1.96777,-0.523144,-0.0144334,0.176329,0.215937,-0.0136413,,,
4.8,amcl,map,-1.99721,-0.497577,0.00629873,0.157435,0.200431,-0.00368884,,,
4.824,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
4.86,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
4.896,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
4.932,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
4.968,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.004,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.04,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.076,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.112,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.148,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.184,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.22,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.256,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.292,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.328,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.364,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.4,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.436,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.472,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.508,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.544,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.58,odom,map,-1.96777,-0.523144,-0.0144334,0,0,0,,,
5.616,odom,map,-1.96985,-0.521337,-0.0129675,0,0,0,,,
5.652,odom,map,-1.9752,-0.516688,-0.00919803,0,0,0,,,
5.688,odom,map,-1.98056,-0.512039,-0.00542855,0,0,0,,,
5.724,odom,map,-1.98591,-0.507391,-0.00165907,0,0,0,,,
5.76,odom,map,-1.99126,-0.502742,0.00211042,0,0,0,,,
5.796,odom,map,-1.99662,-0.498094,0.0058799,0,0,0,,,
5.832,odom,map,-1.99721,-0.497577,0.00629873,0,0,0,,,
5.802,amcl,map,-1.97573,-0.516803,0.00400949,0.19197,0.237019,-0.015247,,,
5.868,odom,map,-1.99721,-0.497577,0.00629873,0,0,0,,,
